# mapping_set_id: "https://github.com/selgebali/datacite4.6-jsonld/blob/main/mappings/datacite-schemaorg.sssom.tsv"
# mapping_set_version: "0.1.0"
# mapping_set_description: "SSSOM mappings from DataCite Metadata Schema 4.6 properties and controlled vocabulary terms to Schema.org. Schema.org targets only; DataCite-to-DCTERMS/DCAT-AP mappings are maintained in a separate artefact."
# creator_id: "https://orcid.org/0000-0003-1378-5495"
# license: "https://creativecommons.org/licenses/by/4.0/"
# subject_source: "https://schema.stage.datacite.org/linked-data/"
# object_source: "https://schema.org/"
# mapping_date: "2026-05-12"
# curie_map:
#   datacite-class: "https://schema.stage.datacite.org/linked-data/class/"
#   datacite-prop: "https://schema.stage.datacite.org/linked-data/property/"
#   datacite-vocab: "https://schema.stage.datacite.org/linked-data/vocab/"
#   schema: "https://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
#
# Notes:
#   - Subject IRIs for sub-elements use nested paths (e.g. property/creator/creatorName).
#     These resolve via the redirect workflow to the canonical flat property files.
#   - dateType values with no schema.org equivalent (Accepted, Submitted, Withdrawn, Other, Valid)
#     are intentionally omitted; they are covered in the DataCite-DCTERMS mapping.
#     Note: schema:validFrom is NOT in the domain of CreativeWork/Dataset and was therefore removed.
#   - object_id values use https://schema.org/ (HTTPS) per current schema.org convention.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
datacite-vocab:descriptionType/TableOfContents	skos:relatedMatch	schema:description	semapv:ManualMappingCuration	TableOfContents	description	Table of contents text; no dedicated schema.org slot
datacite-vocab:descriptionType/TechnicalInfo	skos:relatedMatch	schema:description	semapv:ManualMappingCuration	TechnicalInfo	description	Technical details; no dedicated schema.org slot
datacite-vocab:descriptionType/Other	skos:relatedMatch	schema:description	semapv:ManualMappingCuration	Other	description	Any other description type; fallback to schema:description
datacite-prop:geoLocation	skos:exactMatch	schema:spatialCoverage	semapv:ManualMappingCuration	geoLocation	spatialCoverage	Spatial region where data was gathered or about which data is focused
datacite-prop:geoLocation/geoLocationPlace	skos:exactMatch	schema:Place	semapv:ManualMappingCuration	geoLocationPlace	Place	Named place; serialised as a schema:Place with schema:name
datacite-prop:geoLocation/geoLocationPoint	skos:exactMatch	schema:GeoCoordinates	semapv:ManualMappingCuration	geoLocationPoint	GeoCoordinates	A single lat/long point; serialised as a schema:GeoCoordinates object
datacite-prop:geoLocation/geoLocationPoint/pointLatitude	skos:exactMatch	schema:latitude	semapv:ManualMappingCuration	pointLatitude	latitude	Latitude of the point
datacite-prop:geoLocation/geoLocationPoint/pointLongitude	skos:exactMatch	schema:longitude	semapv:ManualMappingCuration	pointLongitude	longitude	Longitude of the point
datacite-prop:geoLocation/geoLocationBox	skos:exactMatch	schema:GeoShape	semapv:ManualMappingCuration	geoLocationBox	GeoShape	Bounding box; serialised as a schema:GeoShape using the schema:box property (space-separated lat/long string)
datacite-prop:geoLocation/geoLocationBox/westBoundLongitude	skos:relatedMatch	schema:box	semapv:ManualMappingCuration	westBoundLongitude	box	Western boundary; one component of the GeoShape.box string; relatedMatch because four bounds combine into one string
datacite-prop:geoLocation/geoLocationBox/eastBoundLongitude	skos:relatedMatch	schema:box	semapv:ManualMappingCuration	eastBoundLongitude	box	Eastern boundary; one component of the GeoShape.box string
datacite-prop:geoLocation/geoLocationBox/southBoundLatitude	skos:relatedMatch	schema:box	semapv:ManualMappingCuration	southBoundLatitude	box	Southern boundary; one component of the GeoShape.box string
datacite-prop:geoLocation/geoLocationBox/northBoundLatitude	skos:relatedMatch	schema:box	semapv:ManualMappingCuration	northBoundLatitude	box	Northern boundary; one component of the GeoShape.box string
datacite-prop:geoLocation/geoLocationPolygon	skos:closeMatch	schema:GeoShape	semapv:ManualMappingCuration	geoLocationPolygon	GeoShape	Polygon shape; serialised as a schema:GeoShape using the schema:polygon property; closeMatch because polygon encoding differs
datacite-prop:fundingReference	skos:exactMatch	schema:funding	semapv:ManualMappingCuration	fundingReference	funding	Funding information; schema:funding links a CreativeWork to a schema:Grant
datacite-prop:fundingReference/funderName	skos:exactMatch	schema:name	semapv:ManualMappingCuration	funderName	name	Name of the funding organization (value of funder Organization's schema:name)
datacite-prop:fundingReference/funderIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	funderIdentifier	identifier	Persistent identifier for the funder (e.g. ROR); modelled as a PropertyValue
datacite-prop:fundingReference/funderIdentifier/funderIdentifierType	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	funderIdentifierType	propertyID	Type of the funder identifier (e.g. ROR)
datacite-prop:fundingReference/funderIdentifier/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the funder identifier scheme
datacite-prop:fundingReference/awardNumber	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	awardNumber	identifier	Grant or award number; modelled as the identifier of the schema:Grant
datacite-prop:fundingReference/awardNumber/awardURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	awardURI	url	Resolvable URL of the grant or award
datacite-prop:fundingReference/awardTitle	skos:exactMatch	schema:name	semapv:ManualMappingCuration	awardTitle	name	Title of the grant or award (value of schema:Grant's schema:name)
datacite-prop:relatedItem	skos:closeMatch	schema:citation	semapv:ManualMappingCuration	relatedItem	citation	Structured bibliographic metadata for a related item; citation is the most common use; relationType qualifies the specific relationship
datacite-prop:relatedItem/relatedItemType	skos:closeMatch	schema:additionalType	semapv:ManualMappingCuration	relatedItemType	additionalType	Type of the related item (e.g. JournalArticle); same controlled list as resourceTypeGeneral
datacite-prop:relatedItem/relationType	skos:relatedMatch	schema:additionalType	semapv:ManualMappingCuration	relationType	additionalType	Nature of the relation; see relationType vocab rows for specific schema.org property mappings
datacite-prop:relatedItem/relatedItemIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	relatedItemIdentifier	identifier	Identifier of the related item; modelled as a PropertyValue
datacite-prop:relatedItem/relatedItemIdentifier/relatedItemIdentifierType	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	relatedItemIdentifierType	propertyID	Scheme of the related item identifier (e.g. DOI)
datacite-prop:relatedItem/relatedMetadataScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	relatedMetadataScheme	propertyID	Metadata scheme used for the related item
datacite-prop:relatedItem/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the related item metadata scheme
datacite-prop:relatedItem/schemeType	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	schemeType	encodingFormat	Encoding format or protocol of the related item scheme
datacite-prop:relatedItem/creator	skos:exactMatch	schema:creator	semapv:ManualMappingCuration	creator	creator	Creator of the related item
datacite-prop:relatedItem/creator/creatorName	skos:exactMatch	schema:name	semapv:ManualMappingCuration	creatorName	name	Name of the related item's creator
datacite-prop:relatedItem/title	skos:exactMatch	schema:name	semapv:ManualMappingCuration	title	name	Title of the related item
datacite-prop:relatedItem/title/titleType	skos:relatedMatch	schema:additionalType	semapv:ManualMappingCuration	titleType	additionalType	Type qualifier for the related item title; see titleType vocab rows
datacite-prop:relatedItem/publicationYear	skos:exactMatch	schema:datePublished	semapv:ManualMappingCuration	publicationYear	datePublished	Publication year of the related item
datacite-prop:relatedItem/volume	skos:exactMatch	schema:volumeNumber	semapv:ManualMappingCuration	volume	volumeNumber	Journal or series volume of the related item
datacite-prop:relatedItem/issue	skos:exactMatch	schema:issueNumber	semapv:ManualMappingCuration	issue	issueNumber	Journal issue number of the related item
datacite-prop:relatedItem/number	skos:closeMatch	schema:issueNumber	semapv:ManualMappingCuration	number	issueNumber	Report or article number within a series
datacite-prop:relatedItem/number/numberType	skos:relatedMatch	schema:additionalType	semapv:ManualMappingCuration	numberType	additionalType	Type of the number (Article/Chapter/Report/Other)
datacite-vocab:numberType/Article	skos:closeMatch	schema:issueNumber	semapv:ManualMappingCuration	Article	issueNumber	Article number within an issue
datacite-vocab:numberType/Chapter	skos:closeMatch	schema:position	semapv:ManualMappingCuration	Chapter	position	Chapter position within a book
datacite-vocab:numberType/Report	skos:closeMatch	schema:issueNumber	semapv:ManualMappingCuration	Report	issueNumber	Report number within a series
datacite-vocab:numberType/Other	skos:relatedMatch	schema:position	semapv:ManualMappingCuration	Other	position	Fallback for other number types
datacite-prop:relatedItem/firstPage	skos:exactMatch	schema:pageStart	semapv:ManualMappingCuration	firstPage	pageStart	First page of the related item
datacite-prop:relatedItem/lastPage	skos:exactMatch	schema:pageEnd	semapv:ManualMappingCuration	lastPage	pageEnd	Last page of the related item
datacite-prop:relatedItem/publisher	skos:exactMatch	schema:publisher	semapv:ManualMappingCuration	publisher	publisher	Publisher of the related item
datacite-prop:relatedItem/edition	skos:exactMatch	schema:bookEdition	semapv:ManualMappingCuration	edition	bookEdition	Edition of the related book or chapter
datacite-prop:relatedItem/contributor	skos:exactMatch	schema:contributor	semapv:ManualMappingCuration	contributor	contributor	Contributing agent for the related item
datacite-prop:relatedItem/contributor/contributorType	skos:exactMatch	schema:roleName	semapv:ManualMappingCuration	contributorType	roleName	Role of the related item's contributor
datacite-prop:relatedItem/contributor/contributorName	skos:exactMatch	schema:name	semapv:ManualMappingCuration	contributorName	name	Name of the related item's contributor
datacite-class:Resource	skos:exactMatch	schema:CreativeWork	semapv:ManualMappingCuration	Resource	CreativeWork	The top-level DataCite resource; resourceTypeGeneral drives the specific schema.org subtype (e.g. schema:Dataset)
datacite-class:Identifier	skos:exactMatch	schema:PropertyValue	semapv:ManualMappingCuration	Identifier	PropertyValue	A DataCite Identifier is serialised as a schema:PropertyValue with propertyID=DOI and value=<doi-string>
datacite-class:Title	skos:closeMatch	schema:Text	semapv:ManualMappingCuration	Title	Text	The DataCite Title class is structurally a labelled text value + language tag; schema:Text (a schema.org DataType) is the closest class-level match
datacite-class:Publisher	skos:exactMatch	schema:Organization	semapv:ManualMappingCuration	Publisher	Organization	DataCite Publisher is always an Organization in schema.org
datacite-class:PublicationYear	skos:closeMatch	schema:Date	semapv:ManualMappingCuration	PublicationYear	Date	A year value; closeMatch because schema:Date represents a full ISO 8601 date while publicationYear is year-only
datacite-class:Subject	skos:closeMatch	schema:DefinedTerm	semapv:ManualMappingCuration	Subject	DefinedTerm	When subject carries a valueURI and subjectScheme it is serialised as a schema:DefinedTerm within a schema:DefinedTermSet; free-text subjects have no class equivalent
datacite-class:Contributor	skos:closeMatch	schema:Person	semapv:ManualMappingCuration	Contributor	Person	Contributor is a Person when nameType=Personal
datacite-class:Contributor	skos:closeMatch	schema:Organization	semapv:ManualMappingCuration	Contributor	Organization	Contributor is an Organization when nameType=Organizational
datacite-class:Date	skos:closeMatch	schema:PropertyValue	semapv:ManualMappingCuration	Date	PropertyValue	A Date+dateType block is modelled as a schema:PropertyValue (propertyID=dateType, value=ISO-8601 date string)
datacite-class:Language	skos:exactMatch	schema:Language	semapv:ManualMappingCuration	Language	Language	schema:Language exists and directly corresponds to a language designation
datacite-class:ResourceType	skos:relatedMatch	schema:CreativeWork	semapv:ManualMappingCuration	ResourceType	CreativeWork	ResourceType drives the @type selection on the CreativeWork; no ResourceType class in schema.org
datacite-class:AlternateIdentifier	skos:exactMatch	schema:PropertyValue	semapv:ManualMappingCuration	AlternateIdentifier	PropertyValue	Same serialisation as Identifier; an additional PropertyValue alongside the primary DOI
datacite-class:RelatedIdentifier	skos:closeMatch	schema:CreativeWork	semapv:ManualMappingCuration	RelatedIdentifier	CreativeWork	A RelatedIdentifier points to another CreativeWork; the identifier string becomes that resource's schema:identifier
datacite-class:Size	skos:closeMatch	schema:QuantitativeValue	semapv:ManualMappingCuration	Size	QuantitativeValue	Size with optional unit (e.g. bytes, pages); schema:QuantitativeValue carries value+unitCode; closeMatch because DataCite Size is a free-text string
datacite-class:Format	skos:relatedMatch	schema:MediaObject	semapv:ManualMappingCuration	Format	MediaObject	No Format class in schema.org; the format string becomes the schema:encodingFormat property on a MediaObject or CreativeWork
datacite-class:Version	skos:relatedMatch	schema:CreativeWork	semapv:ManualMappingCuration	Version	CreativeWork	No Version class in schema.org; the version string becomes the schema:version property on the CreativeWork
datacite-class:Rights	skos:relatedMatch	schema:CreativeWork	semapv:ManualMappingCuration	Rights	CreativeWork	No Rights class in schema.org; rights information becomes the schema:license property on the CreativeWork
datacite-class:Description	skos:closeMatch	schema:PropertyValue	semapv:ManualMappingCuration	Description	PropertyValue	A Description+descriptionType block is modelled as a schema:PropertyValue (propertyID=descriptionType, value=text); descriptionType=Abstract maps directly to schema:abstract
datacite-class:GeoLocation	skos:closeMatch	schema:Place	semapv:ManualMappingCuration	GeoLocation	Place	A spatial region or named place; schema:Place with schema:geo (GeoCoordinates or GeoShape) is the closest container class
datacite-class:FundingReference	skos:exactMatch	schema:Grant	semapv:ManualMappingCuration	FundingReference	Grant	A FundingReference contains funder + award information exactly matching the schema:Grant structure
datacite-class:RelatedItem	skos:exactMatch	schema:CreativeWork	semapv:ManualMappingCuration	RelatedItem	CreativeWork	A related item with full bibliographic metadata is a schema:CreativeWork; relatedItemType drives the specific subtype
datacite-vocab:contributorType/ContactPerson	skos:closeMatch	schema:contactPoint	semapv:ManualMappingCuration	ContactPerson	contactPoint	Person fielding inquiries about the resource; schema:contactPoint (linking to ContactPoint) is the closest property
datacite-vocab:contributorType/DataCollector	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	DataCollector	roleName	No dedicated schema.org property; expressed as roleName="DataCollector" on a Role wrapper
datacite-vocab:contributorType/DataCurator	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	DataCurator	roleName	No dedicated schema.org property; expressed as roleName="DataCurator"
datacite-vocab:contributorType/DataManager	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	DataManager	roleName	No dedicated schema.org property; expressed as roleName="DataManager"
datacite-vocab:contributorType/Distributor	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	Distributor	roleName	No dedicated schema.org property; expressed as roleName="Distributor"
datacite-vocab:contributorType/Editor	skos:exactMatch	schema:editor	semapv:ManualMappingCuration	Editor	editor	Editorial role maps directly to schema:editor on CreativeWork
datacite-vocab:contributorType/HostingInstitution	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	HostingInstitution	roleName	No dedicated schema.org property; expressed as roleName="HostingInstitution"
datacite-vocab:contributorType/Other	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	Other	roleName	Fallback contributor role; expressed as roleName="Other"
datacite-vocab:contributorType/Producer	skos:exactMatch	schema:producer	semapv:ManualMappingCuration	Producer	producer	Producer role maps directly to schema:producer on CreativeWork
datacite-vocab:contributorType/ProjectLeader	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	ProjectLeader	roleName	No dedicated schema.org property; expressed as roleName="ProjectLeader"
datacite-vocab:contributorType/ProjectManager	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	ProjectManager	roleName	No dedicated schema.org property; expressed as roleName="ProjectManager"
datacite-vocab:contributorType/ProjectMember	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	ProjectMember	roleName	No dedicated schema.org property; expressed as roleName="ProjectMember"
datacite-vocab:contributorType/RegistrationAgency	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	RegistrationAgency	roleName	No dedicated schema.org property; expressed as roleName="RegistrationAgency"
datacite-vocab:contributorType/RegistrationAuthority	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	RegistrationAuthority	roleName	No dedicated schema.org property; expressed as roleName="RegistrationAuthority"
datacite-vocab:contributorType/RelatedPerson	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	RelatedPerson	roleName	No dedicated schema.org property; expressed as roleName="RelatedPerson"
datacite-vocab:contributorType/ResearchGroup	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	ResearchGroup	roleName	No dedicated schema.org property; expressed as roleName="ResearchGroup"
datacite-vocab:contributorType/Researcher	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	Researcher	roleName	No dedicated schema.org property; expressed as roleName="Researcher"
datacite-vocab:contributorType/RightsHolder	skos:exactMatch	schema:copyrightHolder	semapv:ManualMappingCuration	RightsHolder	copyrightHolder	Rights holder maps directly to schema:copyrightHolder on CreativeWork
datacite-vocab:contributorType/Sponsor	skos:exactMatch	schema:sponsor	semapv:ManualMappingCuration	Sponsor	sponsor	Sponsor maps directly to schema:sponsor on CreativeWork/Event
datacite-vocab:contributorType/Supervisor	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	Supervisor	roleName	No dedicated schema.org property; expressed as roleName="Supervisor"
datacite-vocab:contributorType/Translator	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	Translator	roleName	No dedicated schema.org property; expressed as roleName="Translator"; see also schema:translationOfWork for the work relationship
datacite-vocab:contributorType/WorkPackageLeader	skos:relatedMatch	schema:roleName	semapv:ManualMappingCuration	WorkPackageLeader	roleName	No dedicated schema.org property; expressed as roleName="WorkPackageLeader"
datacite-prop:geoLocation/geoLocationPolygon/polygonPoint	skos:exactMatch	schema:GeoCoordinates	semapv:ManualMappingCuration	polygonPoint	GeoCoordinates	Each vertex of the polygon is a lat/long pair; serialised as a schema:GeoCoordinates object
datacite-prop:geoLocation/geoLocationPolygon/inPolygonPoint	skos:closeMatch	schema:GeoCoordinates	semapv:ManualMappingCuration	inPolygonPoint	GeoCoordinates	DataCite-specific interior/containment point for the polygon; closest schema.org type is GeoCoordinates; closeMatch because inPolygonPoint has no direct schema.org equivalent
